"","date","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"1",2023-03-31,-0.754180010865215,-3.10308093340528,-1.96213255996578,-0.717288076404797,-2.22960395129685
"2",2023-03-30,2.07513949001237,-2.63736179030984,-4.03833236070565,1.88209138236081,3.35693401782289
"3",2023-03-29,3.26544234647733,-0.398465803025165,-1.77577178595541,0.17125809580899,-1.2415333745818
"4",2023-03-28,2.16701993288365,-0.799241915226287,1.81362377618092,0.652266069890464,1.1360122896638
"5",2023-03-27,9.36979386223134,3.58296073750932,-0.841207531740452,-0.0571258682541335,2.17738212694384
"6",2023-03-24,-2.02793585965973,2.66402205324989,-0.0722917346940747,0.715035777336082,-1.2328321181192
"7",2023-03-23,-6.22141247371183,-4.9538062271177,1.87461342601939,-1.02164226812692,2.34505116609234
"8",2023-03-22,-4.48399969506029,-5.51023444821337,-0.405479381703858,2.62486154725736,-1.10499108413398
"9",2023-03-21,10.9125977866494,1.00967605250334,-2.24303770301525,-0.483837668224003,-1.91321344042783
"10",2023-03-20,5.41991787761927,2.31034009240948,-0.687979561472417,2.11300059010686,4.58496999127092
"11",2023-03-17,-12.7793495989828,-5.91840160182395,1.10253838360518,-3.66412992383249,-1.05364445945286
"12",2023-03-16,7.75803902734443,1.38150621312329,-4.24766647872588,-1.66490014510155,3.16475275901785
"13",2023-03-15,-14.3513736223548,1.96007035657154,6.12504144522784,1.44463461884983,-3.75877835387377
"14",2023-03-14,7.21739015937319,1.95034970755319,-0.47640469746166,-0.106141518538889,-0.669458165224108
"15",2023-03-13,-17.0837637962876,-5.71653182729409,11.646995284429,-2.99934159667926,-1.92115303766869
"16",2023-03-10,-13.4982936727022,-5.81421666845194,3.64955852428928,0.996802683042615,0.780027681029006
"17",2023-03-09,-5.05582817721356,-0.722333958854137,0.669733666536666,0.842634307904974,0.923042144145692
"18",2023-03-08,-1.14828959250026,2.82775239239046,-0.459269421229639,-0.842697454947718,1.73288679531726
"19",2023-03-07,-0.125661208939901,6.18584090383901,-5.74899724499276,1.20181510422474,0.0591454099636521
"20",2023-03-06,1.39643713278088,-0.0409539305234135,-1.4069286527057,-0.629577917812931,0.32649378154568
"21",2023-03-03,-1.18841502377921,-5.89600648771624,-0.989998183624258,0.854665347441598,0.0548651197910902
"22",2023-03-02,2.38272081947491,2.45038767270623,0.310904501573661,1.18940898203482,-2.11471052948952
"23",2023-03-01,4.10762294676926,0.68812039162958,0.978419850148301,-1.39085525468451,2.39386199873763
"24",2023-02-28,0.148181234907015,-0.546557864584004,1.86741890273446,1.11016135347107,-0.208143650806517
"25",2023-02-27,0.628303843652323,-1.82742583338443,-0.756248716136502,0.191561544123949,1.86840467044933
"26",2023-02-24,2.76454382177266,4.47488783518525,-0.658668072165624,-0.0501607588575341,-1.00648415340275
"27",2023-02-23,-1.25750077722049,-1.35180188433763,-1.90198376234949,-0.0577694454732304,-1.90891968132216
"28",2023-02-22,-0.653187861198711,-0.596489062977055,-1.49231714490499,-0.313576708719544,-1.08332932872063
"29",2023-02-21,3.82578296031719,5.72793048731079,2.35358230559461,1.52876867083161,1.36936330813507
"30",2023-02-20,-0.0188381571472293,-0.471081454091705,0.305701483491888,-0.405408668040993,0.428197242129596
"31",2023-02-17,-2.65593712607469,1.20400943380637,-0.0469932959880846,1.04912795650142,0.244157506463614
"32",2023-02-16,1.72576836817545,1.60729231575466,1.36015409517197,0.780328809608956,1.16626779021762
"33",2023-02-15,1.0330476262066,2.93178606393334,0.273101416763361,1.24921880825718,-2.89353703198816
"34",2023-02-14,2.63275828022118,1.25766463944521,-0.126036735206299,-0.852922357194641,0.118542771632316
"35",2023-02-13,-0.172570423416981,-0.124493016877683,-1.44063909596709,0.330809958362038,1.54449696782436
"36",2023-02-10,1.06460253363561,3.80832289978546,2.12402871429846,0.843910689182755,0.776449741578481
"37",2023-02-09,1.44116729124405,1.61925395212806,-0.115937419816762,-0.497246869976129,1.21646126669957
"38",2023-02-08,-0.868731474505355,0.0115456031456735,0.52041163416658,2.10138864707608,-0.98888477080788
"39",2023-02-07,2.74922593069088,-1.45113836380179,2.71006742951909,0.250063106918992,2.06869976582131
"40",2023-02-06,3.45876131640234,6.01205982872876,0.179832117021591,1.40936038681127,-0.496863959471667
"41",2023-02-03,5.37453263585667,8.68448122842098,-1.86202451319027,1.00093663486998,-2.08156676423361
"42",2023-02-02,2.70495821445607,-3.60919836875929,-3.4094156185123,-1.80139423397335,-1.13894691601092
"43",2023-02-01,-4.266695487832,-4.22862509726013,-1.28621366280811,1.03139826225394,-0.985276728627452
"44",2023-01-31,-2.27503574906013,-0.716939987410902,-0.283507495993597,-0.724014984934285,0.00494262723744251
"45",2023-01-30,0.437451702927193,2.61616078466818,-0.766901865294888,-0.966449252340253,0.19444652116082
"46",2023-01-27,1.09958304792559,0.234040160081882,-0.0714847005546649,-0.349943349973667,0.683003994825435
"47",2023-01-26,2.8773958825612,-0.558845285870943,0.261410306353526,-0.469972796616608,-1.45472638372278
"48",2023-01-25,-0.881146410535022,-0.748708987017885,0.879410256802611,-0.118578155466264,-0.430848882950914
"49",2023-01-24,-2.68484521274107,-1.0804949186953,-0.588090759277404,1.20231588276011,0.135042630932043
"50",2023-01-23,3.52328367974307,-0.0578954710123861,0.461077312882417,0.209107493629782,-0.168080485011789
"51",2023-01-20,3.95381580442856,1.29091851606382,1.51562509122764,-0.947553102653674,0.880769955903159
"52",2023-01-19,1.40323419861439,1.7577759623275,2.40551894345618,3.3973546933292,0.681351860626518
